Animal Phen_1 Phen_2 Phen_3 Phen_4 Phen_5 Phen_6 Phen_7 Phen_8 Phen_9 Phen_10
8001 3.6714635598 2.6642879208 6.0365116321 4.6499661346 5.4111303579 5.1270644679 8.8026868862 9.8059035506 6.5382351059 5.3734925016
8002 3.1009948981 4.2505002905 2.9787652799 3.4627005601 6.5667427177 4.2099771098 -1.6006087362 12.8830325172 2.4055742424 3.1374433575
8003 1.3591020365 -0.4876425495 4.9756260497 3.8989550857 3.4513637368 4.900353112 -0.3525962247 6.7286565338 -2.8392217134 -1.5807194075
8004 1.7343029604 5.1663003648 5.4222798557 9.6861840435 4.0295690876 6.0303601598 4.3131312052 15.1749532128 3.6406935128 7.2385666269
8005 3.2686248363 1.8015613735 7.5154222802 5.3353985212 5.3285775276 3.3098158436 5.7287555775 16.1497299961 12.4930027133 5.2676981987
8006 0.0739559901 4.9262658916 4.7063902633 6.7399599052 4.3637468913 1.6056909361 14.1830737551 10.9378538261 6.6270032763 2.6246970898
8007 0.2563893488 6.8370683956 5.7025152341 6.2887460473 3.8736957703 9.13297261 9.6233341822 13.7391174733 5.5547195458 7.053844364
8008 0.4883877817 5.6203998255 4.9921239625 6.1582287711 4.4193699266 4.8039923212 3.9867641383 8.1739652358 -4.5502303005 -2.4958521086
8009 2.1076947518 2.2607122981 4.7101862151 5.8383983023 4.9956346036 4.9851736947 3.759702098 12.0026028544 2.555544026 4.0324923759
8010 0.8704511639 3.5945246848 3.1333811511 4.9581792024 4.5263179009 6.2804157476 5.3906139208 8.8254032967 8.3679701764 12.8971739273
8011 2.8675442039 6.472557033 6.0978448994 8.2801691293 4.2954009585 7.51635171 3.9152272465 17.1399577866 -2.8149761203 0.4837360985
8012 2.0586636851 4.0486638847 2.7167630915 8.017831159 1.8245647597 2.896657934 5.6919522567 8.7265785854 2.3109659725 6.0674124284
8013 1.9808575233 0.3566172473 5.180701581 5.2256408501 5.6120989748 5.210754076 5.7046325297 13.2624455939 2.3596319104 9.7839518229
8014 3.6494327194 -0.9183700468 3.4015805515 2.9248962631 4.7818031922 4.5065670422 4.9014419382 7.9479216714 6.9503980865 2.2277340255
8015 1.6160040054 -0.8026638297 2.1323941492 2.8345288013 1.2109011389 4.2320031787 7.5468039879 10.8732565693 5.9468039339 4.9152603052
8016 2.6847331715 5.7627813724 6.2219110564 8.3115522692 6.7228126338 6.7196427606 10.438392195 11.6352727197 -2.4842401147 5.1488149969
8017 2.6991690795 4.460798919 3.0869141768 4.581392126 5.5877490492 5.0289588237 7.4397567967 5.6053493653 -4.3859948536 -1.445027789
8018 3.891942422 3.8278222208 5.1551422149 5.4052721358 2.5384347132 2.1214310966 8.170422435 15.7466988983 5.0828643908 1.2626147154
8019 2.376971974 0.8181112281 3.5651779616 2.6458013425 4.1740352335 6.6977779985 7.9593050487 11.8492862607 -4.748548154 7.534605426
8020 0.5467524613 3.489291922 2.5143081486 3.7675679757 3.8912320693 1.0351476756 4.4103329936 10.934547266 -1.6905512041 -0.5474399459
8021 3.9334842152 2.6091833515 8.0434903032 8.1501876005 1.8795695562 3.6009325508 11.8062427221 14.2474279912 9.3862872352 10.4749783715
8022 0.3829943359 2.7324763012 1.941344945 3.4566103115 2.8655949817 3.9652844081 2.729703191 14.4895310032 -2.9800738472 0.9658469208
8023 0.6745514564 0.6483076123 8.4708992209 4.5962124672 6.2627106032 5.5041910836 6.25060178 12.1657360986 4.915862538 -0.1413895533
8024 0.7435330832 1.8689442174 3.9845535743 5.5236897352 2.7025942424 4.5714704373 5.5303886761 12.6591962667 0.418144136 3.4449509466
8025 1.8284103548 2.578643008 1.8704442648 7.2568908543 4.9810778908 2.756928395 10.2543717276 12.4807294293 4.3715040472 3.6002602329
8026 2.2658632764 7.7736979736 4.7386598441 3.5449994169 4.7899753403 4.4722035421 3.711974763 12.1318245827 -8.7468933841 -0.2671497904
8027 2.8705156816 -1.2835347413 2.2945887165 3.9424132418 4.0874759172 3.2635675651 8.2003199358 12.0590527264 0.402189209 6.8264391642
8028 1.4339400409 -0.896358999 1.693681276 2.2683489989 4.6656962366 4.6655916107 12.1173913767 13.5088207635 12.0372173175 7.9593750963
8029 0.506191906 2.9997457778 6.4313143135 4.2099940289 2.2656149558 4.196484581 8.5588992521 7.7215617329 7.473326568 1.6016388852
8030 -0.5192684271 -0.3265784396 4.6260914842 4.3042125527 3.5279643325 4.4454285567 11.2253902575 15.0696560881 5.9726609009 6.7405488489
8031 3.1911297896 6.0421223448 2.980158506 4.1246515354 5.3125058116 6.4274951716 11.7172319561 12.2032819212 8.9800254726 8.0945398017
8032 2.0148054268 2.4292061133 6.8409025204 5.7837219102 6.5731371169 4.4964819739 11.5157748672 10.3805204991 8.0405927687 2.3791025509
8033 2.7549302064 4.0416255651 5.1541583221 7.3233744229 2.5883609697 5.7376075608 5.0952571303 11.1620855627 2.7789967414 4.6444688481
8034 2.2797737659 0.9910354506 3.473222917 5.9151048966 2.1997965109 6.0548307291 6.5988582493 11.1416030459 15.8499540335 11.0462021457
